,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
,Logistic Regression,0.9,0.3,0.15,97.20457433,96.6539924,100,72.87166455,2
,Logistic Regression,0.9,0.4,0.15,97.77636595,97.32006126,100,77.12833545,2
,Logistic Regression,0.95,0.1,0.01,98.41168996,98.07098765,100,84.43456163,2
,Logistic Regression,0.95,0.15,0.01,98.60228717,98.29853055,100,86.27700127,2
,Logistic Regression,0.95,0.2,0.01,98.41168996,98.07098765,100,84.94282084,2
,Logistic Regression,0.95,0.25,0.01,98.53875476,98.22256569,100,85.83227446,2
,Logistic Regression,0.95,0.3,0.01,98.53875476,98.22256569,100,86.02287166,2
,Logistic Regression,0.95,0.4,0.01,98.66581957,98.374613,100,87.86531131,2
,Logistic Regression,0.95,0.1,0.03,98.66581957,98.374613,100,87.3570521,2
,Logistic Regression,0.95,0.15,0.03,98.79288437,98.52713178,100,88.11944091,2
,Logistic Regression,0.95,0.2,0.03,98.72935197,98.45081332,100,87.03939009,2
,Logistic Regression,0.95,0.25,0.03,98.66581957,98.374613,100,87.6747141,2
,Logistic Regression,0.95,0.3,0.03,98.91994917,98.68012422,100,88.56416773,2
,Logistic Regression,0.95,0.4,0.03,98.85641677,98.60356866,100,89.83481576,2
,Logistic Regression,0.95,0.1,0.05,98.53875476,98.22256569,100,87.86531131,2
,Logistic Regression,0.95,0.15,0.05,98.91994917,98.68012422,100,89.19949174,2
,Logistic Regression,0.95,0.2,0.05,98.91994917,98.68012422,100,88.81829733,2
